,distr,address,flagw,flacg,flags,latitude,longitude,name
401,район Строгино,Строгинский бульвар,нет,нет,нет,37.3904796833,55.8065789181,Объект озеленения разделительной полосы от улицы Кулакова до Неманского проезда
402,район Строгино,улица Исаковского дом 16 до улицы Маршала Катукова дом 11,нет,да,нет,37.4094661072,55.8129882931,Объект озеленения от улицы Исаковского дом 16 до улицы Маршала Катукова дом 11
403,район Строгино,улица Таллинская,нет,нет,нет,37.3875150518,55.800825635,Объект озеленения березовая роща в Строгино
404,район Щукино,улица Маршала Рыбалко дом 1,нет,нет,нет,37.4949067985,55.7963378573,Сквер у кинотеатра «Юность»
405,район Строгино,Строгинский бульвар,нет,нет,нет,37.3946200947,55.8058539973,Строгинский бульвар
406,район Хорошёво-Мнёвники,улица Саляма Адиля дом 4,нет,нет,нет,37.4681740667,55.7759015276,Сквер у кинотеатра Патриот
407,район Хорошёво-Мнёвники,Пересечение улиц Берзарина и Народного Ополчения,нет,да,нет,37.4890353089,55.7875545696,Скверы Берзарина
408,район Хорошёво-Мнёвники,Бульвар Генерала Карбышева,нет,да,да,37.4729498455,55.7838969309,Бульвар Генерала Карбышева
409,район Хорошёво-Мнёвники,улица Тухачевского дом 19,нет,нет,нет,37.4817299185,55.7830522784,Сквер по улице Тухачевского дом 19
410,Таганский район,Краснохолмская набережная владение 11,да,да,нет,37.6526108665,55.7323747024,Сквер на Краснохолмской набережной
411,район Якиманка,Калужская площадь,нет,нет,нет,37.6126181082,55.7300142003,Сквер на Калужской площади
412,Красносельский район,"Большая Сухаревская площадь, Панкратьевский переулок",нет,нет,нет,37.633136278,55.7723863604,Сквер на Сухаревской площади
413,Мещанский район,Цветной бульвар,нет,нет,нет,37.6211311893,55.7732419268,Цветной бульвар
414,Гагаринский район,Площадь Гагарина,нет,нет,нет,37.5820200414,55.7096258443,Площадь Гагарина
415,Тверской район,Тверская площадь Столешников переулок,нет,нет,нет,37.6115405817,55.7625213088,Тверской сквер
416,Таганский район,Устьинский проезд дом 2,нет,нет,нет,37.6398677844,55.7485684597,Сквер на Устьинском проезде
417,Пресненский район,улица Спиридоновка дом 6,нет,нет,нет,37.5953147581,55.7592889814,Сквер у памятника Александру Блоку
418,Красносельский район,Лермонтовская площадь,нет,нет,нет,37.6513257676,55.7700290886,Лермонтовский сквер
419,Пресненский район,Пересечение Конюшковской улицы и Рочдельской улицы,нет,нет,нет,37.5756626351,55.7558933997,Сквер у памятника «Мост памяти 1905 года»
420,Таганский район,"Пересечение Устьинского проезда, улицы Яузская и Устьинской набережной",нет,нет,нет,37.6423462972,55.7500718835,Устьинский Сквер
421,Таганский район,улица Яузская дом 6,нет,нет,нет,37.6459098043,55.7481143832,Сквер на Интернациональной улице
422,район Арбат,улица Смоленская дом 1,нет,нет,нет,37.5821116274,55.7463692778,Сквер на Смоленской площади
423,район Якиманка,Болотная площадь,нет,да,нет,37.6150651229,55.7446533704,Болотный сквер
424,район Якиманка,Лаврушинский переулок владение 17,нет,нет,нет,37.6217413118,55.7407356423,Сквер имени Ивана Сергеевича Шмелева
425,Таганский район,Гончарная набережная,нет,нет,нет,37.647916231,55.7383560992,Сквер на Гончарной набережной
426,Красносельский район,улица Мясницкая дом 1,нет,нет,нет,37.629346603,55.7603008236,"Сквер по Мясницкой улице, дом 1"
427,район Сокол,Ул Алабяна напротив дома № 3,нет,нет,нет,37.5086987068,55.8042361911,Сквер «Арбатец»
428,район Люблино,"На пересечении улиц Краснодонская, Судакова, Совхозная",нет,да,да,37.7466126505,55.6726317918,Сквер на улице Краснодонской
429,район Кузьминки,Волжский бульвар,нет,да,да,37.7457485629,55.7099880311,"«Волжский бульвар, ПК №33»"
430,Басманный район,улица Новорязанская,нет,да,да,37.6698879435,55.7731962365,Милютинский парк
431,район Южное Бутово,"Рекреационная зона между улицей Бартеневская, улицей Горчакова, улицей Адмирала Лазарева, улицей Адмирала Руднева",нет,да,нет,37.524314241,55.5487450625,Рекреационная зона между комплексами «А» и «Б»
432,район Братеево,От дома 11 до 44 по улице Борисовские пруды,да,да,да,37.7476943204,55.6393393393,Парк «Южный кластер»
433,Тверской район,Самотечный переулок,да,нет,нет,37.6088765055,55.7804917802,Антроповский сквер
434,Тверской район,"улица Чаянова, Миусская площадь дом 2",нет,нет,нет,37.5925957471,55.7754787719,Сквер на улице Чаянова
435,район Царицыно,между улицей Кантемировская и пролетарским Проспектом,нет,нет,нет,37.6523434173,55.637592455,Сквер на Кантемировской улице
436,район Замоскворечье,"улица Новокузнецкая, улица Пятницкая",нет,нет,нет,37.6288018057,55.7421361667,Сквер у метро Новокузнецкая
437,Мещанский район,Суворовская площадь,нет,нет,нет,37.6154733846,55.781938522,Сквер на Суворовской площади
438,Мещанский район,улица Неглинная,нет,нет,нет,37.621392504,55.7666656914,Бульвар по Неглинной улице
439,район Сокол,Песчаная площадь,нет,нет,нет,37.5094659323,55.7934623805,Сквер на Песчаной улице
440,район Кузьминки,Пересечение улицы Юных Ленинцев и улицы Маршала Чуйкова,нет,нет,нет,37.7638464593,55.6996498812,Сквер у кинотеатра Высота
441,район Кузьминки,улица Маршала Чуйкова дом 7,нет,нет,нет,37.7642722665,55.7048291397,Сквер у кинотеатра Будапешт
442,район Кузьминки,Есенинский бульвар,нет,да,нет,37.7765187381,55.6987716955,Есенинский бульвар
443,Рязанский район,1-ый Вешняковский проезд,нет,нет,нет,37.7955127408,55.7220684309,Сквер по 1-му Вешняковскому проезду
444,Рязанский район,улица Вострухина,нет,нет,нет,37.7966097154,55.7224442412,Сквер у платформы Вешняки
445,район Печатники,"улица Гурьяновская, улица Кухмистерова",нет,нет,нет,37.7178463924,55.6857294217,Сквер у кинотеатра Тула
446,Даниловский район,Автозаводская улица,нет,нет,нет,37.6555948782,55.7072223235,Сквер по Автозаводской улице
447,Даниловский район,Пересечение Восточной и Велозаводской улиц,нет,нет,нет,37.6627436933,55.7177621275,Сквер по Восточной улице
448,район Дорогомилово,Украинский бульвар дома 7 и 8,нет,да,нет,37.5638003894,55.7494801064,Украинский бульвар
449,район Крылатское,Осенний бульвар,нет,да,нет,37.4067378095,55.7529576717,Осенний бульвар
450,район Проспект Вернадского,Проспект Вернадского дом 14,нет,нет,нет,37.5057248566,55.6768298639,Сквер у кинотеатра Звездный
451,район Раменки,"Мичуринский проспект, дом 8",нет,нет,нет,37.5122409511,55.7065164864,Сквер у кинотеатра Литва
452,район Крылатское,"улица Молодогвардейская, дом 29, корпус 1",нет,нет,нет,37.4169175742,55.7336815266,"Объект озеленения Сквер по улице Молодогвардейская, дом 29, корпус 1"
453,район Ясенево,Вдоль Проектируемого проезда № 5408 и 5314,да,да,да,37.500252602,55.6109467602,Голубинский лесопарк
454,район Зябликово,Ореховый бульвар участок между владениями 28Б и 57,нет,нет,нет,37.7535174422,55.6145133251,Озелененная территория в конце Орехового бульвара
455,Басманный район,"переулок Огородная Слобода, 6",нет,да,да,37.6441005298,55.7652390108,"Сквер в переулке Огородная Слобода, у дома 6"
456,Пресненский район,Леонтьевский переулок,нет,нет,нет,37.6045422214,55.7601167576,Сквер у Леонтьевского переулка
457,район Люблино,"на пересечении улиц Кубанская, Люблинская",нет,нет,нет,37.7375149446,55.6836225904,"Кубанская улица, озеленения 2-й категории"
458,Пресненский район,"улица Большая Грузинская, 25",нет,да,нет,37.5777057154,55.7670686543,Георгиевский сквер
459,район Арбат,улица Поварская 33,нет,нет,нет,37.5864784705,55.7581190594,Сквер у Дома Актера
460,район Арбат,Большой Ржевский переулок 33,нет,нет,нет,37.5920103408,55.7538963622,Сквер по Большому Ржевскому переулку
461,район Арбат,улица Поварская 33,нет,да,нет,37.5913589376,55.7553575051,Сквер у памятника Бунину
462,район Арбат,Борисоглебский переулок 9,нет,нет,нет,37.5895725136,55.7542680474,Сквер по Борисоглебскому переулку
463,Басманный район,Покровский бульвар,нет,да,да,37.6472730948,55.7567481317,Милютинский сад
464,Басманный район,улица Покровка 20,нет,нет,нет,37.6473090976,55.7594883041,Сквер Чернышевского
465,Мещанский район,улица Гиляровского 68,нет,нет,нет,37.6333885231,55.7892990761,Сквер на ул. Гиляровского у дома 68
466,Басманный район,улица Спартаковская,нет,нет,нет,37.6733471221,55.7721799526,Елоховский сквер
467,Басманный район,улица Старая Басманная 35,нет,нет,нет,37.6678000984,55.7696181248,Площадь Разгуляй
468,Басманный район,улица Бакунинская 43-55,нет,нет,нет,37.6888955655,55.778135355,Сквер на улице Бакунинская у домов 43-55
469,Басманный район,Рубцовская набережная,нет,нет,нет,37.694468476,55.7728011956,Рубцовский сквер
470,Басманный район,пересечение 3-го Сыромятнического переулка и Верхней Сыромятнической улицы,нет,нет,нет,37.6629849861,55.7542144198,Сквер на пересечении 3-го Сыромятнического переулка и Верхней Сыромятнической улицы
471,Басманный район,улица Радио 10,нет,нет,нет,37.6742254956,55.7636341578,Сквер по улице Радио
472,Басманный район,Центросоюзный переулок,нет,нет,нет,37.6866378897,55.7800651174,Сквер на Центросоюзном переулке
473,Басманный район,улица Покровка 5,нет,да,да,37.6409787138,55.7590199094,Парковая зона на улице Покровка у дома 5
474,Басманный район,Семеновская набережная,нет,нет,нет,37.7029130036,55.7770251098,Аллея Серп и Молот
475,район Хамовники,улица 2-я Фрунзенская,нет,нет,нет,37.5855808732,55.7215410118,Сквер на 2-ой Фрунзенской
476,район Хамовники,улица 3-я Фрунзенская,нет,нет,нет,37.5723342231,55.7236379926,Сквер на 3-й Фрунзенской
477,район Хамовники,пер Сивцев Вражек д 11,нет,нет,нет,37.595462343,55.7474979686,Сквер по переулку Сивцев Вражек
478,район Хамовники,ул Тимура Фрунзе,нет,нет,нет,37.5924573713,55.7318493998,Сквер на Тимура Фрунзе
479,район Хамовники,ул 1-я Фрунзенская,нет,нет,нет,37.5831956066,55.7275008595,Сквер на 1-й Фрунзенской
480,район Хамовники,ул 1-я Фрунзенская д 22,нет,нет,нет,37.587134164,55.7266401767,Сквер у Минобороны
481,район Хамовники,ул Остоженка д 17,нет,нет,нет,37.599269162,55.741505299,Сквер на Остоженке у дома 17
482,район Хамовники,Комсомольский пр-т д 1 (возле Крымской эстакады),нет,нет,нет,37.5937077375,55.7338249401,Крымский сквер
483,район Хамовники,7-й Ростовский пер д 1,нет,нет,нет,37.5743659403,55.7423166132,Озелененный участок над Ростовским откосом
484,район Хамовники,пер 1-й Вражский,нет,нет,нет,37.5733122965,55.7403650215,Сквер на 1-м Вражском (ЗАГС)
485,район Хамовники,ул Усачева 29к9,нет,нет,нет,37.5634852163,55.7249745642,Усачевский сквер
486,район Хамовники,Лужнецкий проезд д 1А,нет,нет,нет,37.5597239054,55.725959798,Сквер на Лужнецком (Кафе «Мята»)
487,район Хамовники,Лужнецкий проезд,нет,нет,нет,37.5599073594,55.7267081779,Сквер на Лужнецком (от Учебного переулка)
488,район Хамовники,Лужнецкий проезд д 1,нет,нет,нет,37.5610201853,55.7265251581,Сквер «Молодым ученым»
489,район Хамовники,ул 10 Летия Октября 13с1,нет,нет,нет,37.5651274374,55.7240054192,Сквер у метро Спортивная
490,район Нагатинский Затон,Коломенская набережная от дома 6 до дома 26,нет,нет,нет,37.7094754285,55.6833875644,Пешеходная зона по Коломенской набережной от дома 6 до дома 26
491,район Хамовники,ул Пречистенка д 30,нет,нет,нет,37.5923140919,55.741369967,Сквер у памятника Сурикову
492,район Хамовники,1-й Тружеников пер вл 17А,нет,нет,нет,37.5745312863,55.7369336613,Сквер на переулке Тружеников
493,Красносельский район,Тургеневская площадь дом 2,нет,нет,нет,37.6357948653,55.7648334712,Сквер на Тургеневской площади
494,район Хамовники,Большой Могильцевский пер д 7,нет,нет,нет,37.5905039285,55.7435621025,Сквер на Большом Могильцевском
495,район Хамовники,Большой Левшинский пер д 6 стр 1,нет,нет,нет,37.5892335168,55.7430661611,Сквер у памятника Нансену
496,Красносельский район,Уланский переулок дом 4,нет,нет,нет,37.6375591819,55.767350022,Сквер в Уланском переулке у дома 4
497,Красносельский район,Живарев переулок дом 15,нет,да,нет,37.6406739134,55.7771324617,Грохольский сквер
