"Lat","Lon","Id","Number","Cells__global_id","Cells__Name","Cells__IsNetObject","Cells__OperatingCompany","Cells__AdmArea","Cells__District","Cells__Address","Cells__PublicPhone__PublicPhone","Cells__SeatsCount","Cells__SocialPrivileges","Cells__Longitude_WGS84","Cells__Latitude_WGS84"
"55.869849","37.660314","337051ab-0647-447d-bab8-a2adb6fa8526","454","169374384","ПАБ БАТЛ КРАФТ","нет","null","Северо-Восточный административный округ","Бабушкинский район","улица Менжинского, дом 23, корпус 1","(926) 010-88-55","20","нет","37.6603140000000000","55.8698490000000000"
"55.741742838077073","37.626100717696566","93eb975b-8096-4940-9da4-4b918c449914","455","169374488","Бургер герой пивной бар","нет","null","Центральный административный округ","район Замоскворечье","улица Большая Ордынка, дом 19, строение 1","(499) 399-35-96","30","нет","37.6261007176965660","55.7417428380770730"
"55.7638999909895","37.618481560515143","fcd6a410-689b-4c4a-9dd0-902c1caa3829","456","169374696","Клуб Аврора","нет","null","Центральный административный округ","Тверской район","улица Петровские Линии, дом 2","(495) 621-15-61","50","нет","37.6184815605151430","55.7638999909895010"
"55.65794465622659","37.7561617162172","d9cbc060-fd5b-4528-af86-86abf95c411c","457","169374734","Бар «Пивная»","нет","null","Юго-Восточный административный округ","район Марьино","Братиславская улица, дом 16, корпус 2","нет телефона","20","нет","37.7561617162172000","55.6579446562265900"
"55.729331","37.622612","fdac2086-7434-4478-be71-23b8c87a345d","458","169374818","Бар","нет","null","Центральный административный округ","район Замоскворечье","улица Коровий Вал, дом 1","(495) 123-45-67","0","нет","37.6226120000000000","55.7293310000000000"
"55.656008416157633","37.59771885420448","2ac24144-0433-420a-8a27-647f25266c77","459","169374935","Другой Бар","нет","null","Юго-Западный административный округ","район Зюзино","Азовская улица, дом 18","(977) 801-77-18","55","нет","37.5977188542044800","55.6560084161576330"
"55.701114629246767","37.638228500803905","0a7829d6-ed9a-47d8-a26b-8ff11471322d","460","169375059","Спорт бар «Красная машина»","нет","null","Южный административный округ","Даниловский район","Автозаводская улица, дом 23, строение 1","(905) 795-15-84","450","нет","37.6382285008039050","55.7011146292467670"
"55.771051366278158","37.629345066742744","b19be28a-d4e2-4d43-9326-f18c8bbdcaf1","461","169375075","Кальянная 25 00","нет","null","Центральный административный округ","Мещанский район","Большой Сухаревский переулок, дом 17, строение 2","(495) 625-66-04","30","нет","37.6293450667427440","55.7710513662781580"
"55.741053076734779","37.626693141934624","660b56d2-c7af-4149-883b-734954b85e81","462","169375096","ПАБ АНДЕРДОГ","нет","null","Центральный административный округ","район Замоскворечье","Климентовский переулок, дом 14","(926) 013-54-34","20","нет","37.6266931419346240","55.7410530767347790"
"55.763404406391771","37.607886408427845","76353573-7257-4d91-a4dd-e15507917d33","463","169375180","Голову с плеч","нет","null","Центральный административный округ","Тверской район","Тверская улица, дом 12, строение 1","(915) 070-09-60","20","нет","37.6078864084278450","55.7634044063917710"
"55.703420871914112","37.583160517727109","504c0fb7-e61e-4257-ae47-5303fd9a4f05","464","169375184","БИР-ТАЙМ","нет","null","Юго-Западный административный округ","Академический район","улица Вавилова, дом 13А","(985) 368-38-12","28","нет","37.5831605177271090","55.7034208719141120"
"55.767909992260485","37.629299465884706","f804baa8-7907-42a2-adff-28ddbfe145a8","465","169375264","Арт-кальянная Shishasity","нет","null","Центральный административный округ","Мещанский район","Колокольников переулок, дом 22, строение 5","(915) 066-36-91","30","нет","37.6292994658847060","55.7679099922604850"
"55.879010319832382","37.579525714788637","2d3a02a1-1e42-4fb7-b92f-fc6b00a86a90","466","169375424","Кафе-бар","нет","null","Северо-Восточный административный округ","Алтуфьевский район","Инженерная улица, дом 5","(926) 273-01-64","20","нет","37.5795257147886370","55.8790103198323820"
"55.772755","37.626996","30504e1f-22c1-47d0-beb4-29af966dca1f","467","169375527","Кальянная Argela Lounge","нет","null","Центральный административный округ","Мещанский район","Садовая-Сухаревская улица, дом 10/12","(965) 226-41-99","20","нет","37.6269960000000000","55.7727550000000000"
"55.6745863715415","37.504475325174333","54104947-0187-4851-8bb6-9c1749f23c5b","468","169375537","Караоке клуб","нет","null","Западный административный округ","район Проспект Вернадского","проспект Вернадского, дом 41, строение 3","нет телефона","50","нет","37.5044753251743330","55.6745863715415010"
"55.815283645832309","37.730778675696889","626b2e41-bbe1-4077-bd69-49fdba162663","469","169375546","НИКА","нет","null","Восточный административный округ","район Богородское","Ивантеевская улица, дом 32, корпус 1","нет телефона","20","нет","37.7307786756968890","55.8152836458323090"
"55.726974184915079","37.62601388260812","696e7aa6-2a7a-4633-9d79-c8ff5e8b7517","470","169375681","Бар Глоу сабс","нет","null","Центральный административный округ","район Замоскворечье","Большая Серпуховская улица, дом 17, строение 1","(926) 823-49-31","10","нет","37.6260138826081200","55.7269741849150790"
"55.647832044127931","37.741812867317947","1a088400-9bcb-4af9-8a87-37cc6b6ae967","471","169375708","Ночной клуб «Орфей»","нет","null","Юго-Восточный административный округ","район Марьино","Новочеркасский бульвар, дом 57, корпус 1","нет телефона","1000","нет","37.7418128673179470","55.6478320441279310"
"55.6592569999999","37.7556429999999","0a3f2db1-ac89-459c-bd44-d2b4e35a4c12","472","169375787","Бар «Пират»","нет","null","Юго-Восточный административный округ","район Марьино","Братиславская улица, дом 14","(495) 347-98-10","44","нет","37.7556429999999000","55.6592569999999000"
"55.870481","37.638009","1ffb222f-b066-4dfa-bd32-8d258d6ac19b","473","169375879","Караоке Маяк","нет","null","Северо-Восточный административный округ","район Южное Медведково","проезд Дежнёва, дом 21","нет телефона","50","нет","37.6380090000000000","55.8704810000000000"
"55.770617522478524","37.625165430279871","512a3c26-8499-432e-8199-87eb17aa019c","474","169375924","Бар ГЕРОИ","нет","null","Центральный административный округ","Мещанский район","Трубная улица, дом 21","(985) 969-69-33","40","нет","37.6251654302798710","55.7706175224785240"
"55.936654281561005","37.552532881069112","38e7f43d-04f0-4b8f-a417-814f6aaf022f","475","169376022","Капитан Конрад","нет","null","Северо-Восточный административный округ","район Северный","9-я Северная линия, дом 3А","нет телефона","30","нет","37.5525328810691120","55.9366542815610050"
"55.630933084699947","37.515630455798274","7640ef92-ef1f-4354-ac7d-b70d4bb98145","476","169376031","Бар «4х4»","нет","null","Юго-Западный административный округ","район Тёплый Стан","Профсоюзная улица, дом 128, корпус 1","(965) 326-34-34","60","нет","37.5156304557982740","55.6309330846999470"
"55.888119","37.509846","c4466472-aed3-4d7e-b7f5-7f70d6226d93","477","169376149","Бар - пиццерия","нет","null","Северный административный округ","район Западное Дегунино","Ижорская улица, владение 8Б, строение Б/Н","(925) 188-88-88","40","нет","37.5098460000000000","55.8881190000000000"
"55.688460860969684","37.569884753746457","62962f93-644c-4e83-b984-4e63ff8829be","478","169376229","ПИВНОЙ БУТИК","нет","null","Юго-Западный административный округ","Академический район","улица Дмитрия Ульянова, дом 16, корпус 1","(963) 777-46-66","16","нет","37.5698847537464570","55.6884608609696840"
"55.741509472231485","37.628289227239542","4f91e505-4efd-4b08-b860-aa3eb36d3840","479","169376311","Пивной бар Парка","нет","null","Центральный административный округ","район Замоскворечье","Пятницкая улица, дом 22, строение 1","(499) 750-89-92","45","нет","37.6282892272395420","55.7415094722314850"
"55.687946483291071","37.57149056723442","f949de10-60f6-44b3-8fb2-64dffde62d20","480","169376929","KillFish Discount Ваг","да","KillFish Discount Ваг","Юго-Западный административный округ","Академический район","улица Дмитрия Ульянова, дом 20, корпус 1","(967) 055-59-89","70","нет","37.5714905672344200","55.6879464832910710"
"55.612043164173365","37.732718176918112","f3d7d025-a42a-4297-a017-2d71956d9c29","481","169377224","Кофе Хаус","да","Кофе хауз","Южный административный округ","район Зябликово","Ореховый бульвар, дом 22А","нет телефона","20","нет","37.7327181769181120","55.6120431641733650"
