,distr,address,phone,hasrent,hastoilet,latitude,longitude
184,район Куркино,"Ландышевая улица, дом 14, строение 2",(499) 199-01-10,нет,нет,55.88064381459274,37.38927754033778
185,Бутырский район,"улица Руставели, дом 7, строение 2",(499) 908-35-00,да,нет,55.815332561642435,37.589414982505374
186,район Измайлово,"Измайловский проспект, владение 54",(499) 367-89-18,да,нет,55.78776338302397,37.79956619012109
187,поселение Московский,"город Московский, 3-й микрорайон, дом 1",(495) 841-08-70,нет,нет,55.59650574507992,37.337375925429576
188,поселение Московский,"город Московский, 3-й микрорайон, дом 1",(495) 841-08-70,нет,нет,55.59650574507992,37.337375925429576
189,поселение Вороновское,"село Вороново, дом 178",,нет,нет,55.31037656750116,37.17264804516112
190,район Кузьминки,"Кузьминский парк, дом 1, строение 2",(495) 175-33-69,да,да,55.69210198450318,37.76698622109591
191,Дмитровский район,"Лобненская улица, дом 13, корпус 1",(499) 908-35-00,нет,нет,55.887888734942344,37.532703546126946
192,Обручевский район,"Воронцовский парк, дом 3",(495) 580-26-78,да,да,55.66661134574404,37.53426345329422
193,район Старое Крюково,"Железнодорожная улица, дом 4, корпус 1",(499) 710-01-13,нет,нет,55.975048492698924,37.19128650537202
194,район Гольяново,"Курганская улица, дом 3",(495) 467-65-84,да,нет,55.83150984273906,37.809065967405694
195,район Гольяново,"Курганская улица, дом 3",(495) 467-65-84,да,нет,55.83195668368292,37.80944684108538
196,район Гольяново,"Курганская улица, дом 3",(495) 467-65-84,да,нет,55.831866108285546,37.80779728254137
197,район Гольяново,"Курганская улица, дом 3",(495) 467-65-84,да,нет,55.831863088939606,37.81009057124881
198,район Гольяново,"Курганская улица, дом 3",(495) 467-65-84,да,нет,55.831458515818035,37.807995766008304
199,район Бирюлёво Восточное,"Липецкая улица, дом 44",(495) 329-86-89,нет,нет,55.58191223632872,37.67856824438755
200,район Москворечье-Сабурово,"улица Борисовские Пруды, дом 1, строение 15А",(499) 175-33-69,нет,нет,55.63383498935105,37.70876072103872
201,район Чертаново Северное,"микрорайон Северное Чертаново, корпус 810",(495) 319-34-50,нет,нет,55.63401559125653,37.592707055036996
202,район Чертаново Северное,"микрорайон Северное Чертаново, корпус 810",(495) 319-34-50,нет,нет,55.63591520021239,37.59323276800366
203,район Внуково,"Интернациональная улица, дом 10",(495) 736-11-10,нет,нет,55.614775654828016,37.253167926240344
204,район Внуково,"Интернациональная улица, дом 10",(495) 736-11-10,нет,нет,55.614558897565,37.25098309576451
205,район Преображенское,"Большая Черкизовская улица, дом 21, строение 2",(499) 161-42-92,да,да,55.803167524796415,37.73932412609802
206,район Чертаново Центральное,"Кировоградская улица, дом 32",,да,да,55.606062508346575,37.595159754288815
207,район Западное Дегунино,"Базовская улица, дом 20А, строение 2",(499) 906-84-00,нет,нет,55.87916705897542,37.51357670828225
208,район Сокол,"Песчаный переулок, дом 6",(499) 198-04-81,нет,нет,55.8001271977017,37.50717501564645
209,район Северное Бутово,"улица Знаменские Садки, дом 7, корпус 1",(495) 580-26-78,да,нет,55.57457178251499,37.568951688542434
210,Донской район,"Загородное шоссе, дом 2А",(499) 123-99-13,да,нет,55.69756982146737,37.61045170393403
211,район Ясенево,"Литовский бульвар, дом 42, корпус 2",(495) 426-17-11,нет,нет,55.6081476832494,37.54276902871981
212,район Ясенево,"Вильнюсская улица, дом 14",(495) 422-58-33,нет,нет,55.598056627992385,37.51608581950172
213,район Южное Бутово,"Скобелевская улица, дом 28",(495) 716-78-18,нет,да,55.54439303911289,37.554634692520246
214,район Косино-Ухтомский,"Лухмановская улица, дом 27",(499) 367-89-18,нет,нет,55.72575668711677,37.914259404398095
215,район Косино-Ухтомский,"Лухмановская улица, дом 27",(499) 367-89-18,нет,нет,55.7257068158365,37.914357268512205
